dataset,blindness,tshift,producer,cell,gln,phase,adherent,experimental_factor
Barzadd,nonblind,mid,partial,k1,Mid-high,stat,no,productivity
Chiang,nonblind,physiological,none,k1,low,NA,yes,infection
Dhiman,nonblind,physiological,partial,k1,None-mid,exp,no,producer
Hefzi,nonblind,physiological,none,s,high,timecourse,no,timecourse
Hofer,nonblind,shift,yes,k1,none,timecourse,no,"timecourse,temperature"
Kol,nonblind,physiological,yes,s,mid,timecourse,no,"timecourse,productivity"
Malm,nonblind,physiological,yes,s,high,stat,no,productivity
Masson,nonblind,physiological,yes,s,NA,exp,no,productivity
Nguyen,nonblind,shift,none,k1,high,timecourse,no,"timecourse,temperature"
NovakA,nonblind,physiological,yes,k1,mid,exp,no,"productivity,growth"
NovakB,nonblind,physiological,yes,k1,mid,exp,no,"productivity,growth"
Orellana,nonblind,physiological,High-low,k1,none,exp,no,productivity
Papez,blind,physiological,none,k1,shift,exp,no,glutamine
Ruckerbauer,nonblind,physiological,partial,k1,high,Exp-stat,no,growth
Stor,blind,physiological,partial,k1,high,timecourse,no,"producer,timecourse"
Synoground,nonblind,shift,partial,k1,mid,exp,no,temperature
Tzani,blind,shift,yes,k1,NA,exp,no,temperature
vanWijk,blind,physiological,none,k1,low,NA,yes,infection
WeingunyDE,nonblind,physiological,none,k1,shift,exp,no,"growth,glutamine"
WeingunySub,nonblind,physiological,yes,k1,high,Exp-stat,no,productivity
ZeLaK1,nonblind,physiological,none,k1,high,exp,no,lactate
ZeLaS,nonblind,physiological,none,s,Mid-high,Exp-stat,no,lactate
