gene	aRRA	p_value	significant	# sgRNAs	# signif. sgRNAs	mean	std	cat
Ubc__1	2.115727906296984e-15	0.0	True	28	22	-2.296136545293665	0.12014356725365315	Significant
Ncaph2__1	2.0078653184640702e-14	0.0	True	25	19	-2.4844411650070075	0.3366655583944925	Significant
Huwe1__1	5.040368151014537e-13	0.0	True	15	14	-3.035901037549617	0.09610490155556821	Significant
Isg20l2__1	8.99695294218918e-13	0.0	True	30	24	-1.9239075964083503	0.25568504603097875	Significant
Coq8b__1	4.5092034977554186e-12	0.0	True	12	12	-3.5699682635337635	0.5483613905297259	Significant
Dctn2__1	5.616393484669036e-12	0.0	True	15	14	-2.3017051216808047	0.5969348787378881	Significant
Scap__1	7.467505774395866e-12	0.0	True	15	14	-3.1934842084917974	0.5769966433653911	Significant
Prmt5__1	7.897290927860078e-12	0.0	True	10	10	-4.350939042809871	0.06967359945083067	Significant
Stx8|Rpl9	3.1058557087741834e-11	0.0	True	13	11	-2.5835319829517	0.28222424265777374	Significant
Fbl__1	7.430102152020226e-11	0.0	True	20	15	-2.1201392989597645	0.13079507703999854	Significant
Nup62|Il4i1	1.1771147354872147e-10	0.0	True	15	15	-3.2134646924987593	0.1827929156853216	Significant
Sf3b1__1	1.6042940725769575e-10	0.0	True	15	13	-2.707102787078068	0.2199112857646873	Significant
Ddx55__1	4.752163150626578e-10	0.0	True	10	10	-3.3805508319961035	0.6970684261822203	Significant
Cdan1__1	5.583582595662343e-10	0.0	True	10	9	-2.915038730620674	0.3155132728101096	Significant
Srcap__1	6.781145986024926e-10	0.0	True	25	15	-1.2391471690401388	0.07770382407747596	Significant
Pi4kb__1	8.711483943944787e-10	0.0	True	20	17	-1.870465676946481	0.11222552257342282	Significant
Snupn__1	1.0420201524533386e-09	0.0	True	20	12	-1.6296439615594789	0.06127560764675772	Significant
Pak2__1	1.07220141595751e-09	0.0	True	10	9	-2.9903010486277433	0.4438204587381506	Significant
Rnpc3__1	1.225732706172288e-09	0.0	True	19	14	-1.6112895621277221	0.3513188943631735	Significant
Tonsl__1	1.669699943375373e-09	0.0	True	10	10	-4.286462320375253	0.5282482448525625	Significant
Fasn__1	1.777098714005555e-09	0.0	True	10	10	-3.9003906296781174	0.21903728761485586	Significant
Rrm2__1	2.7859256484956074e-09	0.0	True	10	10	-3.7114764908062465	0.4211383542744927	Significant
Uba5__1	3.6302388131031916e-09	0.0	True	10	9	-2.701790454556263	0.23683411240018762	Significant
Nup205__1	3.794190560440879e-09	0.0	True	14	10	-1.9984408366752033	0.2524474174908365	Significant
Gmppb__1	4.2368826794690074e-09	0.0	True	10	10	-3.3168991746516236	0.5867266565499524	Significant
Nxf1__1	4.469454207684898e-09	0.0	True	15	11	-2.1375089434353076	0.29265677113749194	Significant
Rpl23a__1	5.854235898319558e-09	0.0	True	10	8	-3.3040629443604184	0.5098360371876126	Significant
Ptbp1__1	6.359345667055903e-09	0.0	True	13	10	-2.3509909950122725	0.47029933460650536	Significant
Nipbl__1	7.175378421245455e-09	0.0	True	10	8	-2.4776863576617747	0.27156644019940107	Significant
Gapdh__1	7.180543390046554e-09	0.0	True	14	13	-3.07726458410717	0.44435468483826174	Significant
Chd8__1	8.209546242335325e-09	0.0	True	15	13	-2.07106805242944	0.1577785910543786	Significant
Eef2__1	9.619136240997752e-09	0.0	True	10	10	-3.296711488629679	0.5225580484070907	Significant
Rabggta__1	1.0138600863662312e-08	0.0	True	10	9	-3.5172484360117187	0.11718940417842948	Significant
Prmt1__1	1.1192846900662953e-08	0.0	True	10	9	-4.416645933833691	0.6261317874856787	Significant
Sdad1__1	1.1270545348622897e-08	0.0	True	10	10	-2.335565314978858	0.8063970880436823	Significant
Msto1__1	1.1285078956170289e-08	0.0	True	10	9	-2.5966066177617755	0.9907385978111735	Significant
Aco2__1	1.1812897120767344e-08	0.0	True	10	6	-2.802681362788206	0.6260176906089584	Significant
Tial1__1	1.5281238085114333e-08	0.0	True	15	11	-2.103372383070883	0.30542941573877586	Significant
Mrpl24__1	1.781852718370712e-08	0.0	True	20	10	-1.3741599004784248	0.10576153742510078	Significant
Med12__1	2.3052230769352632e-08	0.0	True	10	9	-2.8087061807319507	0.2330600948207497	Significant
Usp39__1	2.3395080284406705e-08	0.0	True	10	9	-2.9419467200228233	0.41333972899668886	Significant
Ahctf1__1	2.4076486123666734e-08	0.0	True	10	9	-3.2041079556032592	0.8127572770027205	Significant
LOC103161269__1	2.5829956345529948e-08	0.0	True	10	8	-2.7547163179852214	0.17568015437054352	Significant
Tubb__1	2.584139364388977e-08	0.0	True	10	9	-3.423861526918726	0.5231053113226276	Significant
Prorp__1	2.6179802795062344e-08	0.0	True	10	9	-3.1917098073767987	0.6594047069801159	Significant
Mettl14__1	2.832525779161789e-08	0.0	True	15	12	-2.0326433247803117	0.46459087601810056	Significant
Tcp1__1	3.163095430313848e-08	0.0	True	10	8	-3.2146830412545846	0.518651272479198	Significant
Pmf1__1	3.4722721743545426e-08	0.0	True	10	10	-2.3960832234881644	0.3174366589907893	Significant
Grwd1__1	3.940499796167539e-08	0.0	True	10	10	-3.319685914215772	0.40223940831298644	Significant
Yars1__1	4.3390760453088906e-08	0.0	True	5	4	-4.631857727313578	0.7481669243315848	Significant
Crcp__1	4.5050092021103964e-08	0.0	True	10	8	-3.0722569916795965	0.5564198189547551	Significant
Nploc4__1	5.1614471270770985e-08	0.0	True	9	9	-2.1443691487128183	0.2916236976875271	Significant
Tsfm__1	5.231545879295839e-08	0.0	True	5	5	-4.175427664128243	0.5623422534147394	Significant
LOC100763079__1	5.6190547969849245e-08	0.0	True	5	5	-4.210161905373968	1.1586447421610016	Significant
Trmt5__1	6.616924810265567e-08	0.0	True	5	5	-3.8462031925241194	0.9199846130619771	Significant
Psmd11__1	6.859544021263855e-08	0.0	True	5	5	-4.863930181297427	0.14016207353547325	Significant
Nrbp1__1	6.958279209838562e-08	0.0	True	15	12	-1.939189828859682	0.12460322605598413	Significant
Slc4a7__1	7.045394524236866e-08	0.0	True	15	11	-2.0436751764839545	0.4419070684044167	Significant
Telo2__1	7.223892053097837e-08	0.0	True	10	8	-2.582718128498758	0.35193524639434515	Significant
Unc45a__1	7.333931609842397e-08	0.0	True	15	11	-1.421647195871533	0.28845535971164044	Significant
Snrnp70__1	7.540764061621934e-08	0.0	True	15	12	-1.7034421297855835	0.20742047036007186	Significant
Stx5__1	7.959186635913562e-08	0.0	True	13	12	-2.7228149163678963	0.0897468510704374	Significant
Ttf1__1	8.125454867876687e-08	0.0	True	5	4	-4.423907168089199	0.36640523398401875	Significant
Rrp12__1	9.791517750923259e-08	0.0	True	10	10	-2.835236145234231	0.4952713297790836	Significant
Prune1__1	1.0143725879298949e-07	0.0	True	15	12	-1.5630991501487757	0.36517537166049924	Significant
Trmt61a__1	1.0663353846414993e-07	0.0	True	10	9	-2.7567967561632196	0.5397925139998264	Significant
Rpl10__1	1.0771047740589161e-07	0.0	True	6	6	-3.2308363496864505	0.6952130476866506	Significant
Incenp__1	1.1075135388204564e-07	0.0	True	10	10	-2.971658476320145	0.4788064496554231	Significant
Nhp2__1	1.1473606349057065e-07	0.0	True	5	5	-3.833455467649688	0.3814866124241093	Significant
Pi4ka__1	1.1920641972232729e-07	0.0	True	10	8	-2.221121734079916	0.44738640943203684	Significant
Pola2__1	1.256027450131884e-07	0.0	True	10	10	-3.6966225301861946	0.8471102260055378	Significant
Prim2__1	1.295605781099879e-07	0.0	True	15	10	-2.0216039918517708	0.16103462179924014	Significant
LOC113839111__1	1.2998316494237073e-07	0.0	True	23	13	-1.1163991985786699	0.34194479087879165	Significant
Aars2__1	1.341140286123285e-07	0.0	True	10	8	-2.9283927543167882	0.7214973258981169	Significant
Rasa2__1	1.4435384663823786e-07	0.0	True	15	11	-1.7325255810794957	0.24819584803880604	Significant
Trappc13__1	1.494802591617276e-07	0.0	True	8	7	-2.723173644734432	0.6122319240960422	Significant
Sqle__1	1.5452058511112798e-07	0.0	True	5	5	-3.945425760219353	0.27312258465081063	Significant
Nop16__1	1.5883953702846504e-07	0.0	True	10	9	-2.5825660774561476	0.5286770794680834	Significant
Psma3__1	1.61972238379852e-07	0.0	True	13	10	-2.900458023426455	0.3791835163322613	Significant
Cpsf3__1	1.6257810028277677e-07	0.0	True	5	5	-4.420958746966407	0.15224806244494168	Significant
Lamtor2__1	1.672603635963501e-07	0.0	True	10	8	-2.0540579233358196	0.17027439490222337	Significant
Folr1|Nup98	1.7496675361533866e-07	0.0	True	10	10	-2.4555923003425018	0.5716673377048243	Significant
Mtg1__1	1.9283280830997608e-07	0.0	True	5	5	-4.680121810007051	0.7479624277527521	Significant
Rpp25l__1	1.965733806817946e-07	0.0	True	10	7	-2.6408384833916427	0.5294590904002999	Significant
Cenatac__1	2.0088433634916905e-07	0.0	True	10	10	-2.995317740305933	0.4589677041911776	Significant
Slc16a10|Rpl17	2.010366871930959e-07	0.0	True	7	5	-4.4295068585086455	1.1878192075100766	Significant
Aifm1__1	2.028328860600699e-07	0.0	True	5	4	-4.288534033455399	1.1166287239580202	Significant
Trrap__1	2.129343811796237e-07	0.0	True	10	7	-2.369448836477173	0.14986209574198228	Significant
Gemin6__1	2.279653729794477e-07	0.0	True	10	9	-1.9187551822916693	0.188480472703489	Significant
Acaca__1	2.533444847533719e-07	0.0	True	6	5	-3.8960937667847357	0.49798223550559795	Significant
Iscu__1	2.661206073659969e-07	0.0	True	10	7	-2.3240204536738	0.44087799158981483	Significant
Uba2__1	2.7015425021501416e-07	0.0	True	5	4	-4.613867629227992	0.5981550013616584	Significant
Lsm4__1	2.774478069332004e-07	0.0	True	5	4	-4.367325321735949	0.3085744565886963	Significant
Elp6__1	2.9549918216299494e-07	0.0	True	10	8	-1.7350944376970805	0.11400942915753275	Significant
Hypk__1	3.025288124584634e-07	0.0	True	5	5	-3.4020030752455948	0.3640807871077749	Significant
Ciao2b__1	3.059066199348167e-07	0.0	True	5	5	-4.558630254744775	0.8077682196296092	Significant
Supt16h__1	3.135472396287107e-07	0.0	True	10	9	-2.4451444398847393	0.4659459697748223	Significant
Kmt2a__1	3.167077923247517e-07	0.0	True	15	11	-2.533212471518418	0.59804200062139	Significant
Mepce__1	3.219757095041979e-07	0.0	True	8	8	-3.01867054089107	0.36773633105658143	Significant
Tars2__1	3.43961469294769e-07	0.0	True	10	9	-3.190315854560044	0.43786884588199204	Significant
Samm50__1	3.543608729986195e-07	0.0	True	5	5	-4.077796412634824	0.8855748792100425	Significant
