SampleName,RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,Study,Dataset,DatasetAbbrev,Author,PairedEnd,Source,CellLine,Producer,ProductType,Glutamine,GlutamineConcentration,CulturePhase,Host,CellLineSource,CellLineExact,Temperature,SelectionMarker,Growth,ProcessType,Productivity,Stability ,Serum,ProcessFormat,pH,GlucoseConcentration,FullSampleName,ExperimentalGroup,Design,Batch
Dhiman01,ERR4319912,ERS4805139,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,FALSE,0,,,,MedCN_unstable,Prod,ExperimentalGroup,
Dhiman02,ERR4319913,ERS4805148,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,FALSE,0,,,,MedCN_unstable,Prod,ExperimentalGroup,
Dhiman03,ERR4319914,ERS4805157,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,FALSE,0,,,,MedCN_unstable,Prod,ExperimentalGroup,
Dhiman04,ERR4319915,ERS4805138,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,0,,,,MedCN_stable,Prod,ExperimentalGroup,
Dhiman05,ERR4319916,ERS4805147,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,0,,,,MedCN_stable,Prod,ExperimentalGroup,
Dhiman06,ERR4319917,ERS4805156,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,0,,,,MedCN_stable,Prod,ExperimentalGroup,
Dhiman07,ERR4319918,ERS4805137,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Low,FALSE,0,,,,LowCN_unstable,Prod,ExperimentalGroup,
Dhiman08,ERR4319919,ERS4805146,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Low,FALSE,0,,,,LowCN_unstable,Prod,ExperimentalGroup,
Dhiman09,ERR4319920,ERS4805155,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Low,FALSE,0,,,,LowCN_unstable,Prod,ExperimentalGroup,
Dhiman10,ERR4319921,ERS4805140,ERP122753,rRNA,ERP122753,Dhiman,Dhiman,D,Dhiman,TRUE,SRA,CHO-K1,TRUE,mAb,FALSE,0,EarlyExp,FALSE,Commercial,Horizon,37,GS-/-,NA,FedBatch,Medium,TRUE,0,,,,HighCN_stable,Prod,ExperimentalGroup,
