sample,dataset,fastq_1,fastq_2
Papez01,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010101_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010101_2.fastq.gz
Papez01,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010102_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010102_2.fastq.gz
Papez01,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010103_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010103_2.fastq.gz
Papez01,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010104_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010104_2.fastq.gz
Papez02,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010201_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010201_2.fastq.gz
Papez02,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010202_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010202_2.fastq.gz
Papez02,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010203_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010203_2.fastq.gz
Papez02,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010204_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010204_2.fastq.gz
Papez03,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010301_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010301_2.fastq.gz
Papez03,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010302_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010302_2.fastq.gz
Papez03,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010303_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010303_2.fastq.gz
Papez03,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010304_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010304_2.fastq.gz
Papez04,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010402_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010402_2.fastq.gz
Papez04,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010403_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010403_2.fastq.gz
Papez04,Papez,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010404_1.fastq.gz,/data/borth/mriedl/data/P06-RawData/results/fastq/INH010404_2.fastq.gz
