chromosome	windowbegin	windowend	Genes
NC_048596.1	 20849234	 21000790	LOC118238636, Entpd1, LOC103164176, Tctn3, Aldh18a1
NW_023276808.1	  9899019	 10050757	LOC113837975, LOC103163256, LOC113838460, LOC113838458, LOC113831934, LOC113838461, LOC113838459, LOC100766086, LOC113838014
NC_048602.1	 14999006	 15150518	LOC113839029, LOC113839028, LOC118239324
NC_048600.1	116849014	117000958	LOC100774849, Nsf
NC_048595.1	375899208	376050921	Card10, LOC103164534, Cdc42ep1, Lgals2, LOC118238410, Gga1, Sh3bp1, Pdxp, Lgals1, Nol12
NC_048598.1	193349193	193500987	LOC100753156
NC_048602.1	 15749029	 15900977	LOC118239354, LOC118237678, LOC113837907, LOC113838927, LOC113838928
NC_048597.1	192449008	192600741	Mei4
NC_048600.1	 89249092	 89400760	Doc2b, Rph3al, LOC118239137, LOC100760019
NC_048598.1	112949178	113100877	LOC100751845, LOC100773883, LOC103160814, Sel1l, LOC113836042
NW_023276806.1	106049118	106200892	NA
NW_023276806.1	185999429	186150997	Znf804b
NC_048598.1	178349011	178500876	LOC113838823, LOC113836203, LOC113836202, LOC113836201, LOC118238898, LOC113836200, LOC103164447, LOC118238870, LOC113836141, LOC107980365, LOC103162452, LOC103161173, LOC113831249, LOC113831849, LOC118238988, LOC113836136, LOC113836139
NC_048598.1	133199026	133350741	Abhd12b, Nin
NC_048602.1	 19049330	 19200691	LOC100773736, Ppp2r1a, LOC100773165, LOC103161387, LOC100772580, LOC107980329, LOC100754253
NC_048600.1	 91049003	 91200957	LOC100757378, Cryba1, Myo18a
NW_023276807.1	 74549010	 74700901	LOC107979726, Slc10a2
NC_048597.1	109199503	109350968	Vkorc1l1, Gusb, LOC118237844, Asl, LOC113831116, Crcp
NC_048599.1	 88349183	 88500844	LOC100762342, LOC100774772, LOC100762637, LOC100775055, LOC100750574, LOC100750869, LOC107977725, LOC100760064, LOC100759775, LOC100759483, LOC100761804, LOC100758908
NC_048600.1	113999054	114150389	Cavin1, LOC118239163, Atp6v0a1, LOC118239208, Naglu, Hsd17b1, Coasy, Mlx, Psmc3ip, Retreg3
NC_048604.1	 46049195	 46200945	Cstf2, LOC100750663, Sytl4, Srpx2
NC_048595.1	394949316	395100949	Lalba, LOC113833534, LOC100759014, Kansl2, LOC113831735, LOC113831734, Ccnt1, Tex49, Adcy6
NW_023276807.1	 22799025	 22950974	Ogfrl1, Mir30c-2, Mir30a
NC_048600.1	 88949071	 89100784	Prpf8, Rilp, Scarf1, Slc43a2, LOC118239226, Pitpna, Inpp5k
NC_048595.1	 39449150	 39600530	Elavl4
NC_048603.1	 25799037	 25950901	LOC113837468, LOC118239358, Myc
NW_023276806.1	149999040	150150893	Btbd11
NW_023276807.1	124499081	124650630	NA
NC_048600.1	 91799071	 91950543	Slc13a2, Slc46a1, Sarm1, Vtn, Sebox, Tmem199, Poldip2, LOC113836837, Tnfaip1, Ift20, Tmem97
NC_048595.1	 34649263	 34800991	Dmap1, Eri3
NC_048596.1	101849083	102000989	Rsf1, Aamdc, Ints4
NC_048600.1	111599004	111750934	Ikzf3, LOC113836574, Zpbp2, LOC113832051, Ormdl3, LOC100763945, LOC103158907
NC_048596.1	  1949014	  2100581	Pdzd8, Slc18a2
NC_048595.1	375599156	375750954	C1qtnf6, Sstr3, LOC100767225, Cyth4
NW_023276806.1	 81449133	 81600862	LOC100774989
NC_048600.1	 24749295	 24900961	LOC100766396, Trnak-cuu-49, LOC100766103
NC_048595.1	124949133	125100905	Trnas-aga, C2H8orf37, LOC103162918
NC_048598.1	173099178	173250651	NA
NW_023276807.1	 44549236	 44700675	Pcm1, Fgl1, Mtus1
NC_048597.1	 81599039	 81750806	Zkscan5, Znf655, Zscan25, Tmem225b, LOC100773351
NC_048597.1	173699092	173850668	Spesp1
NW_023276806.1	  7199094	  7350994	Gipc2, LOC113833450
NC_048598.1	126149122	126300857	Fut8, LOC113836006
NC_048595.1	381599131	381750949	Arhgap8, Phf21b
NC_048595.1	187349027	187500997	NA
NC_048604.1	 88499038	 88650909	LOC100772911, LOC100773202, LOC100768778, Prrg1, LOC100768208
NC_048596.1	160199007	160350906	Zswim4, Mir3074-2, Mir24, Mir27a, Mir23a, LOC107979650, Nanos3, Mir181c, Mir181d, CUNH19orf57, Cc2d1a, Podnl1, Dcaf15, Rfx1
NC_048600.1	116999007	117150909	Nsf, LOC103163515
NC_048597.1	 77699015	 77850996	Sdk1
NC_048595.1	398849049	399000915	Pcbp2, Map3k12, Tarbp2, Npff, LOC100764874, LOC118238417
NC_048601.1	 92999189	 93150653	LOC107979351, LOC113837085, LOC118239237, LOC118239236, Ube3c
NC_048596.1	159149441	159300565	LOC100754794, LOC100755373, Man2b1, Wdr83os, Wdr83, Dhps
NW_023276807.1	207599081	207750963	LOC100756361, LOC103160231, LOC103160232, LOC100756074, LOC100755776, LOC113832181, LOC113832182, LOC100755776-2, LOC100772278, LOC113832183, LOC100754904, LOC100771994, LOC103164169, LOC100754327, LOC100753737
NC_048598.1	193649692	193761005	Tmem196, LOC113835798
NW_023276807.1	246599406	246750835	NA
NC_048604.1	  7499076	  7650874	LOC113837790, LOC103158765, LOC103164091
NC_048604.1	 44249058	 44400940	Nxf3, LOC100766137, LOC100766431, LOC100766720
NC_048604.1	110999154	111150965	Foxr2, Rragb, LOC118239430, LOC113837566
NW_023276807.1	237149156	237300795	NA
NC_048598.1	 68849141	 69000966	Epb41l5, LOC113835915, Tmem185b
NC_048600.1	 89099232	 89250873	Inpp5k, Myo1c, Crk, LOC100753603, Doc2b
NW_023276807.1	 54299005	 54450629	LOC100762298
NW_023276806.1	 62099004	 62250992	LOC113839023, LOC113839025, LOC100759690, LOC113832658, LOC100750922, LOC113832659, LOC100774822
NW_023276807.1	 54899006	 55050730	Unc5d
NC_048601.1	 62249088	 62400916	LOC100764167, LOC100764468, LOC113837073, LOC100768246, LOC103159364
NC_048596.1	163799139	163950875	Heatr3, Tent4b, Adcy7
NC_048599.1	 56399120	 56550738	Eif3j, Ctdspl2, Golm2
NC_048603.1	 14699059	 14850973	Ywhaz
NC_048600.1	116399199	116550979	LOC100767745, LOC113836916, LOC113836915, LOC113836914, LOC113831972, LOC113832079
NC_048595.1	172649111	172800727	LOC100753945
NW_023276806.1	 46499021	 46650530	LOC113833516
NC_048596.1	 24299139	 24450894	LOC113831582, Hhex, LOC100758146, Ide
NW_023276806.1	 69299124	 69450594	Fbxw7
NC_048595.1	380099117	380250414	A4galt, LOC118238412, Arfgap3, LOC103164174
NC_048595.1	394349058	394500942	Vdr, Tmem106c, Col2a1
NC_048596.1	144899020	145050955	Hps5, Gtf2h1, Ldha, LOC100751672
NC_048600.1	116099117	116250985	Mpp3, Cfap97d1, Dusp3, Sost, Meox1
NC_048597.1	127949242	128100983	Kdm4d, LOC113835154, Cwc15, Amotl1
NC_048598.1	175949160	176100630	Vipr2, LOC100761204, LOC100762561, LOC103162455
NC_048601.1	  1499081	  1650882	Tmtc1, Ergic2, LOC100758702
NC_048595.1	 56549023	 56700498	NA
NC_048595.1	381149028	381300922	Parvb, Parvg, Shisal1
NC_048599.1	103349455	103500939	Itga6
NC_048601.1	  3449134	  3600788	Itpr2, LOC113837147
NC_048603.1	 29549042	 29700829	Zhx1, LOC113837490, LOC113837489, LOC118239364, LOC107977165, LOC103158925, Trnam-cau-16, LOC103158824
NC_048596.1	 79949027	 80100757	Vwa3a, LOC113831298, LOC113831297, Pdzd9, LOC100750822, LOC103159818, LOC100765981
NC_048600.1	 16349089	 16500848	NA
NC_048595.1	378749049	378900951	Ep300, L3mbtl2, Chadl, Rangap1, LOC100761686, Zc3h7b
NC_048595.1	272699017	272850912	LOC103162816
NC_048595.1	417449180	417600960	Adam23
NC_048598.1	 60299043	 60450849	LOC113833849, LOC118238931, LOC113833850, Dars1
NC_048596.1	 53699748	 53850798	Rela, Kat5, Rnaseh2c, Ap5b1, Ovol1, LOC103164384, LOC100763256, Snx32, Cfl1
NW_023276807.1	 74849145	 75000831	Shcbp1, Arsh, Arsl, Rrn3, LOC118239654, Ntan1
NC_048595.1	322349103	322500877	Nln, Sgtb, Trappc13, Trim23, Ppwd1
NC_048601.1	 34499027	 34650905	LOC113834775, LOC113837052
NW_023276807.1	123749456	123900968	LOC100768274
NC_048603.1	 21149274	 21300778	NA
NC_048600.1	 68999314	 69150941	LOC113836852, Lyrm7, Hint1, Gpx3, Tnip1
NW_023276806.1	 85949052	 86100720	Rsrc1, Shox2
NC_048597.1	 34199138	 34350798	LOC100756961
NC_048600.1	115949020	116100991	Tmem101, Nags, LOC118239204, Pyy, Ppy, Mpp2, Cd300lg, Mpp3
NC_048600.1	 88349010	 88500672	Tsr1, Srr, LOC113836841, LOC113836840, Smg6, LOC113836873
NC_048598.1	174899075	175050944	Ptprn2
NC_048599.1	 51599094	 51750832	Sppl2a, LOC118238647, Trpm7, LOC100752989, Usp50
NC_048603.1	 31199112	 31350955	NA
NW_023276807.1	 56099024	 56250957	NA
NC_048599.1	141599103	141750921	Gle1, Sptan1, LOC103161254, LOC100764299, Dync2i2, Set, Pkn3
NC_048598.1	147299289	147450992	LOC113836216, Baz1a, LOC118238810, Cfl2
NC_048601.1	 91799718	 91950890	Stk31
NC_048597.1	116999213	117150892	Gjc3, LOC100769712, LOC100769429, LOC100766524, LOC103161805, LOC100767391
NC_048600.1	  4799019	  4950806	LOC100755399
NC_048600.1	 53699048	 53850824	NA
NW_023276806.1	139049335	139200931	LOC100750548, LOC113832969, LOC100762118, LOC103163687, Frs2
NC_048604.1	 85949184	 86100981	NA
NC_048604.1	 41249007	 41400833	Pwwp3b, LOC118239419, LOC113837575
NC_048595.1	406049231	406200828	LOC107977245
NC_048596.1	156599290	156750952	Gab1, Usp38
NC_048597.1	100649014	100800799	LOC100769335, LOC118237855, LOC113835489, LOC100768763, LOC100768468, LOC100768193, LOC100761048, LOC100770794
NC_048595.1	243149115	243300967	Vnn1, Taar1, LOC113834360, LOC107979285, LOC100755026, LOC100750905, LOC113830704, LOC100751198, Taar5, LOC118238351, LOC100751776, LOC100752062, LOC100752356, LOC100752657, LOC100755312, LOC100752958
NC_048600.1	 88499344	 88650690	Smg6, Hic1, Mir212, Mir132, Ovca2, Dph1, LOC118239151, Rtn4rl1
NC_048595.1	221249048	221400637	Kctd1
NC_048598.1	100949891	101100997	Cbarp, Midn, LOC118238939, LOC118238925, Cirbp, Fam174c, Efna2, Pwwp3a, Trnaf-gaa-8, Trnan-guu-14, Ndufs7, Gamt, Dazap1, LOC103160343, Rps15, Apc2
NC_048597.1	 89399323	 89550811	LOC100757905, LOC100753831
NC_048599.1	 64049011	 64200749	NA
NW_023276807.1	188099055	188250584	LOC100754745, LOC118239653, Eaf1, Mettl6
NC_048595.1	 26999007	 27150980	Mrps15, Csf3r
NC_048602.1	  8249298	  8400960	Map3k10, LOC113837206, Akt2, CUNH19orf47, Pld3, Hipk4
NC_048595.1	379049237	379200711	Aco2, Polr3h, Csdc2, Pmm1, LOC100771066, LOC100770782, Desi1, Xrcc6, LOC100771351, LOC100761980, Mei1
NC_048595.1	300599308	300750956	NA
NW_023276807.1	187199116	187350996	Parg, LOC113832598, LOC100768872, LOC113832593, Ncoa4, Msmb
NC_048597.1	131699014	131850993	LOC113835264, LOC107977389, LOC100772718, LOC100772427, Znf558, Mbd3l1, LOC113835255
NC_048595.1	188699040	188850921	NA
NW_023276807.1	103799080	103950974	Htt, Msantd1, Rgs12
NC_048599.1	102299054	102450986	LOC100770308
NC_048597.1	123599173	123750763	NA
NC_048597.1	175799121	175950817	LOC113830748, Map2k1, Tipin, LOC113835251, Dis3l
NW_023276806.1	 41849074	 42000925	Cdc14a, LOC113833489
NW_023276807.1	195899122	196050908	LOC118239699, Nid2
NC_048595.1	395399235	395550986	Tuba1b, LOC103163351, Tuba1a, LOC113833567, Tuba1c, Prph, Troap, C1ql4, Dnajc22, LOC113831614
NC_048599.1	127049260	127200614	NA
NW_023276806.1	 28049384	 28200913	LOC103161649, Rpl34
NC_048597.1	 42599189	 42750916	Morc1, LOC113835407
NC_048598.1	100499045	100650776	Cdc34, Gzmm, Bsg, Hcn2, Polrmt, Fgf22, Rnf126, Fstl3, Palm, LOC103160345, Misp
NW_023276806.1	197399311	197550841	Klhdc10, Zc3hc1, Ube2h
NC_048595.1	372599100	372750712	LOC100768586, LOC107977023, LOC100768011, LOC113831445, Ly6e, LOC113831446, LOC100759749
NC_048604.1	 97499217	 97650932	Reps2, Rbbp7
NC_048595.1	373799104	373950955	Dgat1, Scrt1, Tmem249, Fbxl6, Slc52a2, Adck5, Cpsf1, Slc39a4, Vps28, Tonsl, Cyhr1, Cyhr1-2, Kifc2, Foxh1, Ppp1r16a
NC_048604.1	     9146	   150946	Vamp7, LOC113837632, LOC113837629, Spry3
NC_048595.1	395999010	396150856	Aqp2, Aqp5, Aqp6, Racgap1, Asic1, Smarcd1
NW_023276806.1	 82949035	 83100906	LOC100758180
NC_048595.1	 85949034	 86100955	Palm2akap2, LOC113831270
NW_023276807.1	121349015	121500475	Sel1l3
NW_023276807.1	 16949601	 17100654	NA
NC_048595.1	 52199066	 52350882	NA
NW_023276806.1	201449313	201600921	LOC113832859
NW_023276807.1	195449188	195600755	LOC113838388
NW_023276807.1	195299234	195450898	Polr3a, LOC100773006
NW_023276807.1	 11549255	 11700881	Fam178b, LOC113832259, Sema4c, Ankrd39, Ankrd23, Cnnm3, Cnnm4
NW_023276807.1	 33299032	 33450843	Vegfc, LOC113832787
NC_048601.1	 38399263	 38550718	NA
NC_048600.1	127799166	127950944	Tmem104, Grin2c, Fdxr, Fads6, Ush1g, Otop2, Otop3
NW_023276807.1	 30449498	 30600971	Clic5
NC_048597.1	216299593	216450969	Bsn, Dag1
NC_048601.1	 22049029	 22200957	LOC113837013, LOC113837012, Nanog, LOC100770570
NW_023276807.1	 24749397	 24900927	Tmem14a, LOC100754357, LOC100750710, LOC118239732, LOC103162649
NC_048600.1	116549055	116700946	LOC107977695, LOC113836883, Lyzl6, LOC113836905
NC_048595.1	441449148	441600884	Gbx2, Asb18, Iqca1
NC_048597.1	114449038	114600930	Hip1
NC_048596.1	183899025	184050961	Psmd7, LOC107978006, LOC113834689
NW_023276806.1	274349080	274500728	LOC113832432, LOC113832436, Tet1, LOC118239468, Ccar1, LOC113832434
NC_048596.1	 99449136	 99600894	Pold3, Chrdl2, LOC113834860, Rnf169
NC_048597.1	 21449099	 21600874	NA
NW_023276806.1	256049080	256200973	Klc4, Mrpl2, Cul7, Rrp36, Klhdc3, Mea1, Ppp2r5d, Pex6, LOC100769585, Cnpy3, Ptcra, CUNH6orf226, Rpl7l1
NW_023276807.1	135599081	135750994	NA
NW_023276806.1	186899513	187050703	Adam22, LOC113832813, Dbf4
NW_023276807.1	 54449020	 54600934	LOC100762298
NC_048595.1	 11549047	 11700491	LOC100753562, Plekhm2, Slc25a34, Tmem82, LOC118238014, Fblim1
NC_048596.1	  9299346	  9450919	NA
NC_048604.1	 99899072	100050805	LOC100774964, Mospd2, Fancb
NW_023276806.1	154649014	154800871	Spic, LOC103158567, LOC103160196, LOC103163856, Arl1, Utp20
NC_048595.1	380849181	381000871	Efcab6, Sult4a1, Pnpla5
NC_048597.1	175649070	175800872	Lctl, Zwilch, Rpl4, LOC113835564, LOC113835566, LOC113835562, LOC113835565, LOC113835563, LOC113835540, LOC113835201, LOC113830748
NW_023276806.1	 86999172	 87150708	LOC100758435, LOC107977823, Lekr1, LOC118239090
NC_048596.1	 94649378	 94800882	LOC113834607, LOC113834604, LOC113838640, LOC118238451, LOC100774255, LOC113838641, LOC113838638, LOC113838639, LOC113834867
NW_023276806.1	 61349037	 61500817	Tnfaip8l2, Lysmd1, Scnm1, Tmod4, Vps72, Pip5k1a, Psmd4, LOC118239185, Znf687, Pi4kb
NC_048595.1	280499254	280650948	LOC100757967, LOC113834262, LOC113834265, LOC113834264
NC_048595.1	306299486	306450975	NA
NC_048595.1	377699175	377850979	Enthd1, LOC107978683, Grap2, Fam83f
NC_048597.1	 72599131	 72750888	NA
NW_023276806.1	 97199040	 97350969	LOC100755111
NC_048604.1	111899049	112050924	LOC100764136
NW_023276807.1	109049167	109200780	NA
NC_048596.1	235649015	235800945	Ryr2
NC_048595.1	261299004	261450739	LOC100758182, Rfpl4b
NC_048599.1	145199024	145350570	Lmx1b
NC_048602.1	  4799048	  4950660	LOC100759185, LOC100756806, Lsr, Usf2, LOC100757672, LOC113831770, Cd22, LOC113837332, LOC113837336
NC_048597.1	130499281	130650721	NA
NC_048602.1	 17549033	 17700521	NA
NC_048595.1	 26699165	 26850970	LOC100769090, Tekt2, Adprs, Col8a2, LOC113833886, LOC100763384, Trappc3, Map7d1, LOC100763952, Thrap3
NC_048596.1	245249048	245400899	Scgn, Carmil1, LOC113835007
NC_048604.1	   749077	   900685	Dkc1, Gab3, LOC100757139
NW_023276806.1	106799204	106950993	LOC100770538
NC_048596.1	207749053	207900991	Rab18
NC_048601.1	  2699272	  2850980	Ppfibp1, LOC118239255, CUNH12orf71, LOC118239254, Smco2
NC_048595.1	141299215	141450662	LOC113833786
NC_048601.1	   299042	   450692	Bicd1, LOC100761509, Resf1, LOC100761796, LOC100761280
NC_048602.1	  5399007	  5550978	Nfkbid, LOC113837365, Tyrobp, LOC113837366, LOC113837371, LOC113837370, LOC100772163, LOC113837367, Syne4, Alkbh6, Clip3, Thap8, Wdr62
NC_048598.1	152549226	152700830	NA
NC_048595.1	 46199553	 46350572	LOC100773368
NW_023276807.1	 66899120	 67050933	Tdrp, Fbxo25, Coprs, Champ1, Upf3a, Cdc16
NC_048600.1	 91649233	 91800871	LOC100761624, Rskr, LOC113831639, Spag5, LOC103161073, Aldoc, Pigs, Unc119, LOC100762193, Slc13a2
NW_023276806.1	 61649002	 61800917	Pogz, LOC113833182, LOC118239243, Cgn, Tuft1
NC_048600.1	 91349010	 91500978	Sez6, Phf12, Dhrs13, Flot2, Mir144, Mir451a, Eral1, Fam222b
NC_048597.1	 95699137	 95850961	Gcn1, Rab35, Bicdl1
NC_048603.1	 26849087	 27000713	LOC100759976, Lratd2
NC_048596.1	  4499186	  4650906	Afap1l2, Vwa2, Tdrd1, Ccdc186
NW_023276807.1	101699046	101850958	Eif4enif1, LOC100771980, Pisd, LOC103161182, Prr14l
NW_023276807.1	200099063	200250990	Plau, Camk2g, Ndst2
NC_048596.1	 82049161	 82200936	Tmc7, Coq7, Itpripl2, Syt17
NC_048600.1	 12449320	 12600890	Babam2
NC_048604.1	109799098	109950910	Crls1
NC_048597.1	154049296	154200804	LOC100753259
NC_048598.1	153449192	153600798	NA
NC_048595.1	395249209	395400286	Wnt10b, Wnt1, LOC113833659, Ddn, Prkag1, Kmt2d, Rhebl1, Dhh, Lmbr1l, LOC118238415
NC_048602.1	 14099200	 14250979	LOC113837899, LOC113837949, LOC100754587, LOC118237683, LOC113837991, LOC113838152
NC_048595.1	236099120	236250556	LOC100770363, Thoc1, LOC113834490, LOC113839375, Colec12
NC_048599.1	 82799016	 82950887	Accsl, Accs, Ext2
NC_048597.1	190649103	190800794	LOC100756540, LOC113835188, Tmem30a, Filip1
NC_048604.1	 82799341	 82950691	LOC100773532
